date;open;high;low;close
19/04/2017;20.99471;21.08136;20.07648;20.21003
20/04/2017;20.21594;20.97361;20.18759;20.18759
21/04/2017;20.14417;20.62347;19.55;20.00191
22/04/2017;20.09418;20.59604;20.00801;20.01387
23/04/2017;20.00801;20.37194;19.9;20.02333
24/04/2017;20.0231;20.26083;19.58342;19.58344
25/04/2017;19.60128;20.28805;19.5;19.6
26/04/2017;19.65169;20.15;19.30604;19.5
27/04/2017;19.50675;22.02004;19.5;21.42944
28/04/2017;21.49999;22.85898;21.22419;22.56564
29/04/2017;22.59778;23.4902;21.99421;23.28327
30/04/2017;23.32908;24.333;23.28574;23.69887
01/05/2017;23.31795;23.9782;21.94979;22.46403
02/05/2017;22.44022;23.26361;21.99782;23.26361
03/05/2017;23.0;25.8;22.64888;25.5549
04/05/2017;25.64037;26.81476;24.51;26.01101
05/05/2017;26.01017;31.50077;25.04;27.36401
06/05/2017;28.35767;29.93802;27.45224;27.75102
07/05/2017;27.79848;38.0;27.79848;31.73124
08/05/2017;30.92552;33.13107;26.0369;29.584
09/05/2017;29.68971;30.77914;25.28445;28.06602
10/05/2017;28.26462;30.87;27.46291;30.49436
11/05/2017;30.49327;30.87;28.56706;29.77496
12/05/2017;29.55778;30.32408;27.68866;28.85
13/05/2017;28.43388;28.78694;27.2;28.5
14/05/2017;28.29801;29.01111;27.50002;28.48559
15/05/2017;28.20724;28.60324;27.23748;27.69054
16/05/2017;27.75483;27.78153;26.3187;26.75149
17/05/2017;26.75;28.34398;25.5;27.31956
18/05/2017;27.375;31.28731;27.30434;30.36123
19/05/2017;31.03244;32.0;30.37785;32.0
20/05/2017;31.60199;36.99796;31.34429;34.80236
21/05/2017;35.28112;36.52016;32.72002;34.40688
22/05/2017;34.55022;40.39996;32.3812;36.11398
23/05/2017;36.11601;55.99;35.82781;55.42774
24/05/2017;55.49975;58.49978;43.01112;45.0
25/05/2017;44.99915;51.56731;39.1916;39.99648
26/05/2017;39.22011;44.9856;34.75505;38.41292
27/05/2017;38.51873;40.28574;26.1001;33.03263
28/05/2017;33.30435;39.99835;33.30435;36.22477
29/05/2017;36.65938;44.0;35.25045;41.26459
30/05/2017;41.62839;46.46011;39.1;39.218
31/05/2017;39.325;43.9995;38.5;41.77488
01/06/2017;42.43221;45.99898;39.51;44.09792
02/06/2017;44.17169;45.08;43.39298;43.99992
03/06/2017;44.24104;45.04869;42.2538;42.48446
04/06/2017;42.69688;43.78078;41.4867;42.78606
05/06/2017;42.78609;48.73863;42.57331;48.73863
06/06/2017;48.49282;54.99786;47.18996;54.60001
07/06/2017;54.91746;61.70841;51.68003;53.0
08/06/2017;53.0;56.7;51.68;56.13625
09/06/2017;56.13787;57.4688;55.0;55.5
10/06/2017;55.77964;56.51;49.08;51.0283
11/06/2017;51.41235;57.74292;50.23383;57.74292
12/06/2017;57.93666;59.33461;45.0;49.94622
13/06/2017;49.66101;52.8;49.20564;51.74844
14/06/2017;52.01428;53.89562;43.50003;46.21448
15/06/2017;46.00071;47.1976;37.01114;46.45101
16/06/2017;46.45063;48.47607;43.45443;47.7
17/06/2017;47.70005;53.17228;47.02237;53.00321
18/06/2017;52.99804;54.3751;48.5;49.81909
19/06/2017;49.56561;51.69567;49.28276;50.5
